Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
27-Jul-05,40.3,40.3,36.5,36.75,38.89640929,117414,173,4566983,117414,100,3.8,-3.55,0.049479167,30.13055556,0.049479167,30.57222222,-0.049479167,29.125,-0.04296875,29.92222222,1
29-Jul-05,37.5,38.55,35.5,38.5,38.03299096,32615,83,1240446,32615,100,3.05,1,-0.069478908,30.51842105,-0.043424318,30.99210526,-0.02739726,29.46052632,0.047619048,30.37368421,1
01-Aug-05,38.5,40,36.6,36.9,38.77609547,21201,70,822092,21201,100,3.4,-1.6,0.026666667,30.9175,0.037613489,31.4425,0.030985915,29.8175,-0.041558442,30.7,1
02-Aug-05,36.6,38.7,36.6,37.8,37.68431281,25728,62,969542,25728,100,2.1,1.2,-0.049350649,31.18809524,-0.0325,31.78809524,0,30.14047619,0.024390244,31.03809524,1
03-Aug-05,37.1,37.75,36.75,36.9,36.99550388,6450,32,238621,6450,100,1,-0.2,0.013661202,31.45681818,-0.024547804,32.05909091,0.004098361,30.44090909,-0.023809524,31.30454545,1
04-Aug-05,36,38,36,37.75,37.25881961,9014,44,335851,9014,100,2,1.75,-0.029649596,31.65434783,0.006622517,32.3173913,-0.020408163,30.6826087,0.02303523,31.58478261,1
05-Aug-05,37.7,38,37,37.15,37.52071487,6155,30,230940,6155,100,1,-0.55,0.047222222,31.90625,0,32.55416667,0.027777778,30.94583333,-0.01589404,31.81666667,1
08-Aug-05,37.5,39,37.5,39,38.20284803,70856,103,2706901,70856,100,1.5,1.5,-0.00530504,32.13,0.026315789,32.812,0.013513514,31.208,0.049798116,32.104,1
09-Aug-05,40,40.95,38.6,40.95,39.4981778,54330,71,2145936,54330,100,2.35,0.95,0.066666667,32.43269231,0.05,33.125,0.029333333,31.49230769,0.05,32.44423077,1
10-Aug-05,42.95,42.95,42.2,42.95,42.51293251,38005,36,1615704,38005,100,0.75,0,0.07375,32.82222222,0.048840049,33.48888889,0.093264249,31.88888889,0.048840049,32.83333333,1
11-Aug-05,45.05,45.05,45.05,45.05,45.04996124,14191,42,639304,14191,100,0,0,0.048894063,33.25892857,0.048894063,33.90178571,0.067535545,32.35892857,0.048894063,33.26964286,1
12-Aug-05,47.3,47.3,45,46.85,46.82915902,136829,215,6407587,136829,100,2.3,-0.45,0.049944506,33.74310345,0.049944506,34.3637931,-0.001109878,32.79482759,0.039955605,33.73793103,1
16-Aug-05,44.6,49.15,44.55,49.15,48.07596393,54776,92,2633409,54776,100,4.6,4.55,-0.057082452,34.105,0.039112051,34.85666667,-0.01,33.18666667,0.04909285,34.25166667,1
17-Aug-05,51.6,51.6,49,51.6,51.05890458,52254,96,2668032,52254,100,2.6,0,0.156950673,34.66935484,0.049847406,35.39677419,0.099887767,33.69677419,0.049847406,34.81129032,1
18-Aug-05,53,53,49.1,51.45,50.80781624,58033,119,2948530,58033,100,3.9,-1.55,0.027131783,35.2421875,0.027131783,35.946875,0.002040816,34.178125,-0.002906977,35.33125,1
